"Artist_Song","Median_Rank","Num_Weeks","Week","Category","YouTube"
"Luis Fonsi & Daddy Yankee Featuring Justin Bieber - Despacito",1,31,"2017-04-30","hot_100","https://www.youtube.com/results?search_query=Luis Fonsi   Daddy Yankee Featuring Justin Bieber - Despacito"
"Drake Featuring WizKid & Kyla - One Dance",2,27,"2016-04-24","hot_100","https://www.youtube.com/results?search_query=Drake Featuring WizKid   Kyla - One Dance"
"Justin Bieber - Love Yourself",3,24,"2016-01-03","hot_100","https://www.youtube.com/results?search_query=Justin Bieber - Love Yourself"
"Desiigner - Panda",3,20,"2016-04-17","hot_100","https://www.youtube.com/results?search_query=Desiigner - Panda"
"The Chainsmokers Featuring Halsey - Closer",3,34,"2016-08-14","hot_100","https://www.youtube.com/results?search_query=The Chainsmokers Featuring Halsey - Closer"
"The Weeknd Featuring Daft Punk - Starboy",3,21,"2016-10-09","hot_100","https://www.youtube.com/results?search_query=The Weeknd Featuring Daft Punk - Starboy"
"Bruno Mars - That's What I Like",3,31,"2017-02-26","hot_100","https://www.youtube.com/results?search_query=Bruno Mars - That's What I Like"
"twenty one pilots - Heathens",4,27,"2016-07-03","hot_100","https://www.youtube.com/results?search_query=twenty one pilots - Heathens"
"twenty one pilots - Stressed Out",5,23,"2016-01-03","hot_100","https://www.youtube.com/results?search_query=twenty one pilots - Stressed Out"
"Ed Sheeran - Shape Of You",5,39,"2017-01-22","hot_100","https://www.youtube.com/results?search_query=Ed Sheeran - Shape Of You"
"Rihanna Featuring Drake - Work",6,23,"2016-02-07","hot_100","https://www.youtube.com/results?search_query=Rihanna Featuring Drake - Work"
"Sia Featuring Sean Paul - Cheap Thrills",6,25,"2016-06-12","hot_100","https://www.youtube.com/results?search_query=Sia Featuring Sean Paul - Cheap Thrills"
"Justin Timberlake - Can't Stop The Feeling!",6.5,24,"2016-05-22","hot_100","https://www.youtube.com/results?search_query=Justin Timberlake - Can't Stop The Feeling!"
"Bruno Mars - 24K Magic",6.5,20,"2016-10-23","hot_100","https://www.youtube.com/results?search_query=Bruno Mars - 24K Magic"
"The Chainsmokers Featuring Daya - Don't Let Me Down",7,28,"2016-04-24","hot_100","https://www.youtube.com/results?search_query=The Chainsmokers Featuring Daya - Don't Let Me Down"
"Calvin Harris Featuring Rihanna - This Is What You Came For",7,24,"2016-05-15","hot_100","https://www.youtube.com/results?search_query=Calvin Harris Featuring Rihanna - This Is What You Came For"
"Ariana Grande Featuring Nicki Minaj - Side To Side",7.5,22,"2016-09-18","hot_100","https://www.youtube.com/results?search_query=Ariana Grande Featuring Nicki Minaj - Side To Side"
"Fifth Harmony Featuring Ty Dolla $ign - Work From Home",8,22,"2016-03-13","hot_100","https://www.youtube.com/results?search_query=Fifth Harmony Featuring Ty Dolla $ign - Work From Home"
"DJ Snake Featuring Justin Bieber - Let Me Love You",8,26,"2016-08-21","hot_100","https://www.youtube.com/results?search_query=DJ Snake Featuring Justin Bieber - Let Me Love You"
"The Chainsmokers & Coldplay - Something Just Like This",8,25,"2017-03-12","hot_100","https://www.youtube.com/results?search_query=The Chainsmokers   Coldplay - Something Just Like This"
"twenty one pilots - Ride",8.5,20,"2016-06-19","hot_100","https://www.youtube.com/results?search_query=twenty one pilots - Ride"
"Imagine Dragons - Believer",8.5,26,"2017-05-14","hot_100","https://www.youtube.com/results?search_query=Imagine Dragons - Believer"
"Mike Posner - I Took A Pill In Ibiza",9,22,"2016-03-06","hot_100","https://www.youtube.com/results?search_query=Mike Posner - I Took A Pill In Ibiza"
"Rihanna - Needed Me",9,23,"2016-05-15","hot_100","https://www.youtube.com/results?search_query=Rihanna - Needed Me"
"French Montana Featuring Swae Lee - Unforgettable",9,24,"2017-06-11","hot_100","https://www.youtube.com/results?search_query=French Montana Featuring Swae Lee - Unforgettable"
"D.R.A.M. Featuring Lil Yachty - Broccoli",10,21,"2016-09-04","hot_100","https://www.youtube.com/results?search_query=D.R.A.M. Featuring Lil Yachty - Broccoli"
