"Rank","Song","Artist","Category","Week"
"2","Sorry","Justin Bieber","hot_100","2016-01-03"
"3","Love Yourself","Justin Bieber","hot_100","2016-01-03"
"4","Hotline Bling","Drake","hot_100","2016-01-03"
"5","What Do You Mean?","Justin Bieber","hot_100","2016-01-03"
"6","Same Old Love"," Selena Gomez","hot_100","2016-01-03"
"7","Here","Alessia Cara","hot_100","2016-01-03"
"8","Stitches","Shawn Mendes","hot_100","2016-01-03"
"9","The Hills","The Weeknd","hot_100","2016-01-03"
"10","Like I'm Gonna Lose You","Meghan Trainor Featuring John Legend","hot_100","2016-01-03"
"11","All I Want For Christmas Is You","Mariah Carey","hot_100","2016-01-03"
"12","Jumpman","Drake & Future","hot_100","2016-01-03"
"13","Stressed Out","twenty one pilots","hot_100","2016-01-03"
"14","679","Fetty Wap Featuring Remy Boyz","hot_100","2016-01-03"
"15","In The Night","The Weeknd","hot_100","2016-01-03"
"16","Antidote","Travis Scott","hot_100","2016-01-03"
"17","On My Mind","Ellie Goulding","hot_100","2016-01-03"
"18","Don't","Bryson Tiller","hot_100","2016-01-03"
"19","Watch Me","Silento","hot_100","2016-01-03"
"20","Roses","The Chainsmokers Featuring Rozes","hot_100","2016-01-03"
"21","Can't Feel My Face","The Weeknd ","hot_100","2016-01-03"
"22","Wildest Dreams","Taylor Swift","hot_100","2016-01-03"
"23","Ex's & Oh's","Elle King","hot_100","2016-01-03"
"24","White Iverson","Post Malone ","hot_100","2016-01-03"
"25","Die A Happy Man","Thomas Rhett","hot_100","2016-01-03"
"26","Say It","Tory Lanez","hot_100","2016-01-03"
"27","Confident","Demi Lovato","hot_100","2016-01-03"
"28","Lean On","Major Lazer & DJ Snake Featuring MO","hot_100","2016-01-03"
"29","Trap Queen","Fetty Wap","hot_100","2016-01-03"
"30","Rockin' Around The Christmas Tree","Brenda Lee","hot_100","2016-01-03"
"31","Perfect","One Direction","hot_100","2016-01-03"
"32","Break Up In A Small Town","Sam Hunt","hot_100","2016-01-03"
"33","I Know What You Did Last Summer"," Shawn Mendes & Camila Cabello","hot_100","2016-01-03"
"34","Hit The Quan","iLoveMemphis","hot_100","2016-01-03"
"35","Focus","Ariana Grande","hot_100","2016-01-03"
"36","Me_ Myself & I","G-Eazy x Bebe Rexha ","hot_100","2016-01-03"
"37","My House","Flo Rida","hot_100","2016-01-03"
"38","The Christmas Song (Merry Christmas To You)","Nat King Cole","hot_100","2016-01-03"
"39"," Hands To Myself","Selena Gomez","hot_100","2016-01-03"
"40","No Role Modelz","J. Cole","hot_100","2016-01-03"
"41","See You Again","Wiz Khalifa Featuring Charlie Puth","hot_100","2016-01-03"
"42","Hide Away","Daya","hot_100","2016-01-03"
"43","Cake By The Ocean","DNCE","hot_100","2016-01-03"
"44","Again","Fetty Wap","hot_100","2016-01-03"
"45","Where Ya At","Future Featuring Drake","hot_100","2016-01-03"
"46","Locked Away","R. City Featuring Adam Levine","hot_100","2016-01-03"
"47","Jingle Bell Rock","Bobby Helms","hot_100","2016-01-03"
"48","Do It Like Me"," DLOW","hot_100","2016-01-03"
"49","Where Are U Now","Skrillex & Diplo With Justin Bieber","hot_100","2016-01-03"
"50","Burning House","Cam","hot_100","2016-01-03"
"51","Exchange"," Bryson Tiller","hot_100","2016-01-03"
"52","Down In The DM","Yo Gotti Featuring Nicki Minaj","hot_100","2016-01-03"
"53","Back To Sleep","Chris Brown","hot_100","2016-01-03"
"54","When We Were Young","Adele","hot_100","2016-01-03"
"55","Adventure Of A Lifetime","Coldplay","hot_100","2016-01-03"
"56","Back Up","DeJ Loaf Featuring Big Sean","hot_100","2016-01-03"
"57","One Call Away","Charlie Puth ","hot_100","2016-01-03"
"58","WTF (Where They From)","Missy Elliott Featuring Pharrell Williams","hot_100","2016-01-03"
"59","I'll Show You","Justin Bieber","hot_100","2016-01-03"
"60","Home Alone Tonight","Luke Bryan Featuring Karen Fairchild","hot_100","2016-01-03"
"61","Big Rings","Drake & Future","hot_100","2016-01-03"
"62","The Fix","Nelly Featuring Jeremih","hot_100","2016-01-03"
"63","Best Friend"," Young Thug","hot_100","2016-01-03"
"64","Stay A Little Longer","Brothers Osborne","hot_100","2016-01-03"
"65","Gonna Know We Were Here","Jason Aldean","hot_100","2016-01-03"
"66","Stand By You","Rachel Platten","hot_100","2016-01-03"
"67","Used To Love You","Gwen Stefani","hot_100","2016-01-03"
"68","Irresistible","Fall Out Boy","hot_100","2016-01-03"
"69","I Got The Boy","Jana Kramer","hot_100","2016-01-03"
"70","I Love This Life","LOCASH","hot_100","2016-01-03"
"71","New Americana","Halsey","hot_100","2016-01-03"
"72","You Should Be Here","Cole Swindell","hot_100","2016-01-03"
